#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.3000  -109.41  -165.97   -47.09   103.64   -36.84    -8.32   109.03   -42.33   -37.56    85.07    95.10   -10.25
 -0.2379  -113.31  -157.46   -40.17    84.32   -30.89    -7.54    87.78   -35.51   -30.89    69.56    77.82    -9.27
 -0.1759  -115.90  -149.95   -34.48    68.52   -26.29    -6.76    70.42   -29.91   -25.68    56.69    63.46    -8.18
 -0.1138  -117.45  -143.31   -29.78    55.64   -22.66    -6.01    56.31   -25.33   -21.54    46.05    51.60    -7.12
 -0.0517  -118.18  -137.44   -25.88    45.14   -19.73    -5.30    44.88   -21.60   -18.21    37.31    41.84    -6.15
  0.0103  -118.24  -132.21   -22.63    36.61   -17.34    -4.64    35.68   -18.59   -15.47    30.15    33.85    -5.30
  0.0724  -117.80  -127.55   -19.92    29.67   -15.35    -4.04    28.29   -16.15   -13.21    24.32    27.33    -4.56
  0.1345  -116.96  -123.37   -17.63    24.04   -13.69    -3.50    22.39   -14.16   -11.31    19.59    22.03    -3.94
  0.1966  -115.81  -119.59   -15.68    19.47   -12.27    -3.01    17.71   -12.53    -9.72    15.76    17.75    -3.41
  0.2586  -114.43  -116.16   -14.03    15.76   -11.06    -2.58    13.99   -11.19    -8.38    12.67    14.28    -2.97
  0.3207  -112.88  -113.03   -12.61    12.76   -10.01    -2.21    11.06   -10.06    -7.24    10.19    11.50    -2.59
  0.3828  -111.20  -110.15   -11.38    10.34    -9.10    -1.88     8.76    -9.11    -6.28     8.20     9.26    -2.28
  0.4448  -109.44  -107.49   -10.31     8.37    -8.31    -1.59     6.94    -8.30    -5.46     6.60     7.46    -2.01
  0.5069  -107.62  -105.02    -9.38     6.78    -7.60    -1.35     5.52    -7.61    -4.77     5.32     6.02    -1.78
  0.5690  -105.78  -102.71    -8.56     5.49    -6.98    -1.14     4.40    -7.02    -4.18     4.30     4.86    -1.58
  0.6310  -103.92  -100.53    -7.83     4.45    -6.42    -0.96     3.53    -6.52    -3.68     3.48     3.94    -1.41
  0.6931  -102.07   -98.49    -7.19     3.60    -5.93    -0.81     2.84    -6.10    -3.25     2.82     3.19    -1.26
  0.7552  -100.24   -96.54    -6.62     2.92    -5.48    -0.68     2.29    -5.74    -2.88     2.29     2.59    -1.14
  0.8172   -98.43   -94.70    -6.10     2.37    -5.08    -0.57     1.86    -5.44    -2.56     1.86     2.11    -1.02
  0.8793   -96.66   -92.93    -5.64     1.92    -4.72    -0.48     1.51    -5.18    -2.29     1.52     1.72    -0.92
  0.9414   -94.91   -91.25    -5.22     1.56    -4.39    -0.41     1.24    -4.96    -2.04     1.24     1.40    -0.84
  1.0034   -93.21   -89.63    -4.85     1.26    -4.09    -0.35     1.01    -4.75    -1.83     1.02     1.15    -0.76
  1.0655   -91.55   -88.07    -4.51     1.03    -3.81    -0.30     0.83    -4.55    -1.64     0.83     0.94    -0.69
  1.1276   -89.93   -86.57    -4.20     0.83    -3.56    -0.26     0.69    -4.35    -1.48     0.68     0.77    -0.63
  1.1897   -88.36   -85.13    -3.91     0.68    -3.34    -0.22     0.56    -4.15    -1.33     0.56     0.63    -0.58
  1.2517   -86.84   -83.73    -3.65     0.55    -3.13    -0.19     0.47    -3.93    -1.20     0.46     0.52    -0.53
  1.3138   -85.36   -82.39    -3.41     0.45    -2.93    -0.17     0.38    -3.71    -1.08     0.38     0.42    -0.48
  1.3759   -83.92   -81.09    -3.20     0.36    -2.75    -0.14     0.32    -3.48    -0.97     0.31     0.35    -0.44
  1.4379   -82.53   -79.84    -2.99     0.30    -2.59    -0.13     0.26    -3.24    -0.87     0.25     0.28    -0.40
  1.5000   -81.19   -78.62    -2.81     0.24    -2.44    -0.11     0.21    -3.00    -0.79     0.21     0.23    -0.37
