#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.3000  -107.46  -166.01   -45.05   103.60   -32.95   -13.64   115.67   -82.82   -36.74    87.99    98.12   -12.11
 -0.2379  -111.56  -157.58   -38.21    84.23   -27.64   -11.72    92.74   -75.95   -30.18    71.69    79.98   -10.58
 -0.1759  -114.37  -150.16   -32.61    68.41   -23.54   -10.05    73.80   -69.85   -24.93    58.06    64.81    -9.08
 -0.1138  -116.13  -143.62   -28.01    55.51   -20.30    -8.60    58.26   -64.36   -20.71    46.75    52.23    -7.72
 -0.0517  -117.05  -137.83   -24.22    45.01   -17.70    -7.34    45.65   -59.34   -17.27    37.45    41.87    -6.52
  0.0103  -117.30  -132.69   -21.08    36.47   -15.57    -6.24    35.50   -54.70   -14.47    29.85    33.41    -5.51
  0.0724  -117.02  -128.09   -18.46    29.53   -13.81    -5.28    27.41   -50.34   -12.17    23.70    26.56    -4.66
  0.1345  -116.32  -123.95   -16.28    23.91   -12.33    -4.45    21.04   -46.24   -10.27    18.74    21.04    -3.95
  0.1966  -115.29  -120.20   -14.44    19.35   -11.08    -3.74    16.06   -42.37    -8.71    14.79    16.62    -3.36
  0.2586  -114.00  -116.78   -12.88    15.65   -10.00    -3.12    12.21   -38.73    -7.42    11.65    13.11    -2.88
  0.3207  -112.53  -113.65   -11.55    12.66    -9.07    -2.60     9.26   -35.34    -6.35     9.17    10.34    -2.48
  0.3828  -110.91  -110.75   -10.40    10.25    -8.25    -2.15     7.01   -32.20    -5.46     7.22     8.15    -2.15
  0.4448  -109.19  -108.06    -9.42     8.29    -7.54    -1.78     5.32   -29.33    -4.72     5.69     6.43    -1.88
  0.5069  -107.40  -105.54    -8.56     6.71    -6.91    -1.47     4.04   -26.73    -4.11     4.49     5.09    -1.65
  0.5690  -105.56  -103.18    -7.81     5.43    -6.35    -1.22     3.09   -24.40    -3.59     3.56     4.04    -1.46
  0.6310  -103.71  -100.95    -7.15     4.39    -5.86    -1.01     2.38   -22.34    -3.16     2.83     3.21    -1.30
  0.6931  -101.86   -98.85    -6.57     3.56    -5.41    -0.84     1.85   -20.51    -2.79     2.26     2.57    -1.16
  0.7552  -100.02   -96.85    -6.05     2.88    -5.01    -0.70     1.46   -18.92    -2.47     1.81     2.06    -1.04
  0.8172   -98.20   -94.96    -5.59     2.34    -4.65    -0.58     1.16   -17.52    -2.20     1.46     1.66    -0.94
  0.8793   -96.42   -93.15    -5.17     1.90    -4.32    -0.49     0.93   -16.29    -1.96     1.19     1.35    -0.85
  0.9414   -94.68   -91.43    -4.79     1.54    -4.02    -0.41     0.76   -15.21    -1.76     0.97     1.10    -0.77
  1.0034   -92.98   -89.78    -4.45     1.25    -3.75    -0.35     0.63   -14.26    -1.57     0.79     0.90    -0.70
  1.0655   -91.33   -88.20    -4.14     1.02    -3.50    -0.30     0.53   -13.40    -1.41     0.65     0.74    -0.64
  1.1276   -89.72   -86.69    -3.86     0.83    -3.28    -0.26     0.44   -12.64    -1.27     0.54     0.61    -0.59
  1.1897   -88.16   -85.23    -3.60     0.67    -3.07    -0.22     0.38   -11.94    -1.14     0.45     0.51    -0.54
  1.2517   -86.65   -83.83    -3.37     0.55    -2.88    -0.19     0.32   -11.29    -1.03     0.37     0.42    -0.49
  1.3138   -85.19   -82.49    -3.15     0.44    -2.70    -0.17     0.28   -10.70    -0.93     0.31     0.35    -0.45
  1.3759   -83.78   -81.18    -2.95     0.36    -2.54    -0.15     0.24   -10.13    -0.84     0.26     0.29    -0.41
  1.4379   -82.40   -79.93    -2.77     0.29    -2.39    -0.13     0.21    -9.60    -0.76     0.22     0.24    -0.38
  1.5000   -81.08   -78.71    -2.60     0.24    -2.25    -0.11     0.18    -9.09    -0.68     0.18     0.20    -0.35
