#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.3000  -108.19  -174.96   -37.91   104.67   -17.56   -11.86    86.53   -29.65   -28.36    71.30    79.69   -20.35
 -0.2379  -112.89  -165.96   -31.98    85.06   -15.13    -9.63    64.76   -24.35   -22.96    55.62    62.30   -16.85
 -0.1759  -116.13  -157.99   -27.18    69.04   -13.18    -7.85    47.83   -20.05   -18.82    43.04    48.32   -14.00
 -0.1138  -118.20  -150.91   -23.28    55.99   -11.58    -6.42    34.80   -16.62   -15.59    33.04    37.19   -11.70
 -0.0517  -119.30  -144.58   -20.09    45.37   -10.26    -5.25    24.90   -13.91   -13.03    25.17    28.41    -9.83
  0.0103  -119.63  -138.91   -17.48    36.75    -9.16    -4.29    17.46   -11.75   -10.95    19.01    21.53    -8.32
  0.0724  -119.35  -133.80   -15.31    29.76    -8.22    -3.51    11.96   -10.03    -9.24    14.25    16.19    -7.10
  0.1345  -118.59  -129.18   -13.51    24.09    -7.41    -2.86     7.95    -8.64    -7.82    10.59    12.08    -6.10
  0.1966  -117.46  -124.97   -12.00    19.51    -6.72    -2.32     5.07    -7.49    -6.62     7.81     8.95    -5.28
  0.2586  -116.05  -121.14   -10.72    15.80    -6.12    -1.88     3.05    -6.52    -5.61     5.71     6.57    -4.60
  0.3207  -114.44  -117.61    -9.63    12.80    -5.59    -1.52     1.66    -5.67    -4.75     4.14     4.79    -4.03
  0.3828  -112.67  -114.37    -8.68    10.38    -5.13    -1.22     0.74    -4.93    -4.01     2.97     3.46    -3.56
  0.4448  -110.81  -111.36    -7.87     8.42    -4.71    -0.98     0.15    -4.27    -3.38     2.11     2.48    -3.15
  0.5069  -108.89  -108.56    -7.15     6.83    -4.35    -0.79    -0.21    -3.68    -2.84     1.49     1.76    -2.80
  0.5690  -106.93  -105.95    -6.52     5.54    -4.02    -0.63    -0.40    -3.15    -2.38     1.04     1.24    -2.50
  0.6310  -104.96  -103.49    -5.96     4.49    -3.73    -0.50    -0.49    -2.67    -1.98     0.72     0.86    -2.23
  0.6931  -103.00  -101.18    -5.46     3.64    -3.46    -0.40    -0.50    -2.25    -1.65     0.49     0.59    -2.00
  0.7552  -101.05   -98.99    -5.01     2.95    -3.22    -0.32    -0.48    -1.88    -1.36     0.33     0.41    -1.79
  0.8172   -99.13   -96.92    -4.60     2.39    -3.00    -0.25    -0.44    -1.55    -1.12     0.22     0.27    -1.60
  0.8793   -97.25   -94.94    -4.23     1.93    -2.80    -0.20    -0.38    -1.27    -0.91     0.14     0.18    -1.43
  0.9414   -95.40   -93.06    -3.90     1.56    -2.62    -0.16    -0.32    -1.04    -0.74     0.09     0.12    -1.28
  1.0034   -93.60   -91.26    -3.60     1.26    -2.45    -0.12    -0.27    -0.84    -0.60     0.06     0.08    -1.14
  1.0655   -91.85   -89.54    -3.32     1.01    -2.30    -0.10    -0.22    -0.68    -0.48     0.03     0.05    -1.02
  1.1276   -90.14   -87.88    -3.06     0.81    -2.16    -0.08    -0.18    -0.55    -0.39     0.02     0.03    -0.90
  1.1897   -88.48   -86.30    -2.83     0.65    -2.03    -0.06    -0.14    -0.44    -0.31     0.01     0.02    -0.80
  1.2517   -86.88   -84.78    -2.62     0.52    -1.91    -0.05    -0.11    -0.36    -0.24     0.01     0.01    -0.71
  1.3138   -85.32   -83.31    -2.42     0.41    -1.80    -0.04    -0.08    -0.29    -0.19     0.00     0.01    -0.62
  1.3759   -83.82   -81.90    -2.24     0.32    -1.70    -0.03    -0.07    -0.24    -0.15     0.00     0.00    -0.54
  1.4379   -82.37   -80.55    -2.08     0.25    -1.60    -0.02    -0.05    -0.20    -0.11    -0.00     0.00    -0.48
  1.5000   -80.97   -79.24    -1.93     0.20    -1.52    -0.02    -0.04    -0.17    -0.09    -0.00     0.00    -0.41
