# BBI 6-31+G**   AUX:ACCD
#  EST            EFP2             OTTO-LADIK        OEP-OTTO-LADIK 
    -1.31544776         -1.48554094       -1.89723832       -2.18842240
    -0.75126062         -0.76377079       -0.62747531       -1.12120168
    -1.42200761         -1.27077137       -1.31661858       -1.92318534
    -0.64630139         -0.60831988       -0.55728790       -1.01161633
    -1.78059200         -1.66279674       -2.06770505       -2.53933134
    -1.09546978         -1.06594729       -1.23406645       -1.60289049
    -0.57971200         -0.74210822       -0.81274926       -1.12259789
    -0.66580112         -0.68292904       -0.56595969       -1.01394276
    -1.53535798         -1.68345791       -2.06575434       -2.40367675
    -0.74612901         -0.72008692       -0.84336511       -1.19470644
    -1.20805334         -1.16737122       -1.40050637       -1.85816583
    -0.74994280         -0.79027230       -0.63503584       -1.13818757
    -1.79183859         -1.66312775       -2.12130054       -2.56230723
    -0.51177307         -0.46481657       -0.49838261       -0.81686424
    -2.22402004         -2.31757757       -2.38945107       -2.81090912
    -1.33188924         -1.00465027       -1.08554334       -1.74436461
    -1.06820614         -1.18895122       -1.49711603       -1.91289636
    -1.29507517         -1.23968639       -1.61964826       -1.91848234
    -0.66295271         -0.64153053       -0.79206660       -1.14214154
    -1.04800422         -0.97504679       -1.05201575       -1.47386330
    -1.07294634         -1.13970659       -1.48340163       -1.85604604
    -1.24442054         -1.10778043       -1.49429994       -1.83579099
    -1.35695443         -1.42239398       -1.81334112       -2.12332668
    -0.66891023         -0.62462646       -0.56184948       -1.02710005
    -0.90169033         -0.83048700       -1.08911654       -1.43995897
    -0.12211474         -0.11957920       -0.18893253       -0.27446710
    -1.48287617         -1.40726053       -1.52881559       -1.98659150
    -1.32330766         -1.41877258       -1.49487788       -1.90148699
    -1.23209880         -1.22336772       -1.21517165       -1.65250652
    -0.68231536         -0.63953184       -0.57356580       -1.04047550
    -2.99802351         -3.50586548       -4.21415477       -4.54527590
    -2.00514633         -2.09349607       -2.42349780       -2.78091171
    -1.59910427         -1.50342113       -1.93054053       -2.30905420
    -1.42133915         -1.41071025       -1.60589947       -1.99723442
    -1.19407377         -1.10458371       -1.32774466       -1.69290659
    -1.47912862         -1.43689881       -1.79751170       -2.13097968
    -1.25499149         -1.38332634       -1.55642387       -1.95946886
    -0.93385540         -0.93574495       -0.76312288       -1.35951175
    -1.69808853         -1.67790526       -1.90166957       -2.38982747
    -0.92899978         -0.88937241       -0.93529751       -1.34242612
    -0.02084319         -0.02473736       -0.12827047       -0.21392468
    -0.64615072         -0.62892643       -0.61114492       -0.99403560
    -0.53701175         -0.50568366       -0.59568272       -0.89369316
    -2.77123174         -2.57948525       -3.23918076       -3.70707026
    -1.20261500         -0.95720145       -1.00036459       -1.64140159
    -1.19142606         -1.38676469       -1.23814404       -1.70499162
    -0.70324736         -0.67180592       -0.84696846       -1.16390617
    -1.27353599         -0.96107950       -1.08814205       -1.69632983
    -0.90919591         -0.97055953       -1.08628996       -1.40759163
    -0.68501800         -0.62453585       -0.57441441       -1.04874987
    -1.13020229         -0.98960489       -1.03283117       -1.59100944
    -0.23735366         -0.25597006       -0.38160974       -0.53584458
    -0.23496641         -0.23704225       -0.24369012       -0.44763702
    -1.14014183         -1.25972659       -1.44715419       -1.74033001
    -0.66838195         -0.56539993       -0.56655426       -1.05088038
    -0.54491984         -0.55092642       -0.70649797       -1.01187759
    -2.30168266         -2.34178396       -2.09851464       -2.84570025
    -0.75966267         -0.79777855       -0.65548952       -1.17640536
    -1.78209348         -1.61608729       -2.17583139       -2.58024340
    -1.42654934         -1.34489497       -1.51933042       -1.93250565
    -1.11823482         -1.16678029       -1.18419198       -1.55058647
    -2.01397462         -1.71188960       -1.78706316       -2.55900396
    -0.68707382         -0.64420116       -0.57960383       -1.03765903
    -0.83692441         -0.77962288       -0.86670293       -1.30793615
    -1.64338297         -1.53564524       -1.70302641       -2.16552896
    -1.11271323         -1.01297551       -1.33831732       -1.68449129
    -1.48924701         -1.53476317       -1.78418092       -2.18140755
    -1.58423736         -1.38670527       -1.29379067       -2.04022751
    -0.62461161         -0.57042831       -0.60617372       -0.95828933
    -1.07772542         -1.06107396       -1.21070996       -1.58279783
    -0.67761994         -0.67061752       -0.74466830       -1.08951227
    -1.18501739         -1.36952323       -1.54405274       -1.91443098
    -0.79873990         -0.78072000       -0.65661865       -1.17590934
    -0.70446677         -0.63837965       -0.59572120       -1.07151189
    -1.66242113         -1.79513232       -2.04888268       -2.45955762
    -1.21682516         -0.96709729       -1.25355972       -1.79760260
    -0.82106901         -0.89118193       -0.69198873       -1.19741809
    -0.42187651         -0.38431586       -0.39283427       -0.69046504
    -1.70085042         -1.57517972       -2.16738416       -2.49618270
    -0.73361104         -0.78493913       -0.63230995       -1.13370349
    -1.33545456         -1.28301059       -1.47143309       -1.85749846
    -0.92805556         -0.88132627       -0.96410514       -1.35351007
    -1.79909096         -1.89277258       -1.99491782       -2.42490641
    -1.73338183         -1.60919409       -1.88982694       -2.36582605
    -1.09128087         -1.02938039       -1.21819769       -1.59816877
    -0.67245886         -0.64904301       -0.82269546       -1.11763719
    -1.64093995         -1.62360956       -1.94244163       -2.28238430
    -1.41554130         -1.27953340       -1.52446444       -1.94087563
    -1.42870078         -1.45440894       -1.67580524       -2.04911450
    -0.06789805         -0.04871603       -0.18682211       -0.29132621
    -0.94528384         -1.08211940       -1.24361035       -1.55326005
    -2.01938341         -2.19455935       -2.71080818       -2.93644741
    -0.52319013         -0.53274374       -0.63431114       -0.92052752
    -0.15048779         -0.23340908       -0.16920711       -0.34248209
    -1.05620249         -1.09130732       -1.05064188       -1.56621406
    -0.87965788         -0.89284258       -0.99584143       -1.37410866
    -0.69736414         -0.61226489       -0.58729936       -1.05602231
    -0.78353016         -0.66346685       -0.64424414       -1.13431243
    -0.41422699         -0.37652300       -0.41101944       -0.72816096
    -1.56969751         -1.45239086       -1.72678784       -2.14533862
