#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.3000   -14.77   -33.13   -19.00    37.35   -10.94    -4.34    39.36   -15.22    -9.96    32.78    35.01    -8.05
 -0.2552   -16.00   -31.02   -16.68    31.70    -9.71    -3.93    33.11   -13.28    -8.57    27.83    29.81    -6.97
 -0.2103   -16.92   -29.12   -14.68    26.88    -8.66    -3.55    27.82   -11.62    -7.43    23.61    25.36    -6.02
 -0.1655   -17.58   -27.39   -12.96    22.78    -7.75    -3.19    23.37   -10.20    -6.47    20.02    21.55    -5.21
 -0.1207   -18.02   -25.83   -11.48    19.30    -6.97    -2.87    19.61    -8.98    -5.67    16.96    18.30    -4.51
 -0.0759   -18.28   -24.42   -10.20    16.34    -6.29    -2.58    16.46    -7.95    -4.98    14.36    15.52    -3.91
 -0.0310   -18.40   -23.13    -9.09    13.82    -5.69    -2.32    13.80    -7.08    -4.39    12.15    13.16    -3.39
  0.0138   -18.40   -21.97    -8.12    11.69    -5.17    -2.08    11.58    -6.33    -3.88    10.28    11.15    -2.95
  0.0586   -18.31   -20.91    -7.28     9.88    -4.71    -1.86     9.71    -5.70    -3.43     8.70     9.45    -2.57
  0.1034   -18.14   -19.94    -6.54     8.35    -4.30    -1.67     8.15    -5.17    -3.04     7.36     8.01    -2.24
  0.1483   -17.91   -19.06    -5.90     7.05    -3.94    -1.49     6.84    -4.72    -2.69     6.22     6.78    -1.96
  0.1931   -17.63   -18.25    -5.33     5.95    -3.62    -1.34     5.74    -4.33    -2.39     5.27     5.74    -1.71
  0.2379   -17.32   -17.51    -4.84     5.02    -3.33    -1.20     4.83    -4.00    -2.12     4.46     4.87    -1.50
  0.2828   -16.98   -16.82    -4.40     4.24    -3.07    -1.07     4.06    -3.71    -1.88     3.77     4.13    -1.32
  0.3276   -16.62   -16.19    -4.01     3.58    -2.84    -0.96     3.42    -3.47    -1.68     3.20     3.50    -1.16
  0.3724   -16.24   -15.60    -3.66     3.02    -2.63    -0.85     2.88    -3.26    -1.49     2.71     2.97    -1.03
  0.4172   -15.86   -15.05    -3.35     2.54    -2.44    -0.76     2.44    -3.07    -1.33     2.30     2.52    -0.91
  0.4621   -15.47   -14.54    -3.07     2.14    -2.27    -0.68     2.06    -2.91    -1.19     1.95     2.14    -0.80
  0.5069   -15.08   -14.06    -2.83     1.81    -2.11    -0.60     1.75    -2.77    -1.07     1.66     1.82    -0.71
  0.5517   -14.69   -13.61    -2.60     1.52    -1.97    -0.54     1.48    -2.64    -0.96     1.41     1.55    -0.63
  0.5966   -14.30   -13.18    -2.40     1.28    -1.84    -0.47     1.26    -2.53    -0.86     1.20     1.32    -0.56
  0.6414   -13.93   -12.78    -2.22     1.08    -1.72    -0.42     1.07    -2.43    -0.78     1.02     1.12    -0.50
  0.6862   -13.55   -12.40    -2.06     0.91    -1.62    -0.37     0.92    -2.34    -0.70     0.87     0.96    -0.45
  0.7310   -13.19   -12.04    -1.91     0.77    -1.52    -0.33     0.78    -2.26    -0.64     0.75     0.82    -0.40
  0.7759   -12.83   -11.70    -1.78     0.64    -1.42    -0.29     0.67    -2.18    -0.58     0.64     0.70    -0.35
  0.8207   -12.49   -11.38    -1.66     0.54    -1.34    -0.26     0.58    -2.10    -0.53     0.54     0.60    -0.32
  0.8655   -12.15   -11.07    -1.54     0.46    -1.26    -0.23     0.49    -2.03    -0.48     0.47     0.51    -0.28
  0.9103   -11.83   -10.77    -1.44     0.38    -1.19    -0.20     0.43    -1.95    -0.44     0.40     0.44    -0.25
  0.9552   -11.51   -10.49    -1.35     0.32    -1.12    -0.18     0.37    -1.88    -0.40     0.34     0.37    -0.23
  1.0000   -11.21   -10.21    -1.26     0.27    -1.06    -0.16     0.32    -1.80    -0.37     0.29     0.32    -0.20
