#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.3000   -15.22   -34.10   -18.32    37.21    -9.08    -6.97    46.51   -15.38   -10.42    36.34    38.65    -9.24
 -0.2552   -16.49   -32.03   -16.02    31.56    -8.09    -6.21    39.30   -13.46    -8.95    30.89    32.95    -7.93
 -0.2103   -17.45   -30.16   -14.04    26.75    -7.23    -5.52    33.09   -11.79    -7.71    26.18    28.01    -6.81
 -0.1655   -18.14   -28.46   -12.35    22.67    -6.49    -4.90    27.75   -10.35    -6.65    22.14    23.75    -5.86
 -0.1207   -18.63   -26.93   -10.89    19.19    -5.85    -4.36    23.19    -9.10    -5.76    18.66    20.07    -5.04
 -0.0759   -18.93   -25.54    -9.63    16.24    -5.29    -3.87    19.30    -8.02    -5.00    15.70    16.92    -4.35
 -0.0310   -19.09   -24.28    -8.55    13.74    -4.79    -3.44    16.01    -7.09    -4.35    13.17    14.23    -3.76
  0.0138   -19.13   -23.14    -7.61    11.62    -4.36    -3.05    13.23    -6.29    -3.79    11.02    11.94    -3.25
  0.0586   -19.08   -22.10    -6.80     9.82    -3.98    -2.71    10.89    -5.60    -3.31     9.21    10.00    -2.82
  0.1034   -18.94   -21.14    -6.09     8.30    -3.64    -2.40     8.94    -5.00    -2.90     7.68     8.35    -2.46
  0.1483   -18.73   -20.26    -5.48     7.01    -3.33    -2.13     7.31    -4.49    -2.54     6.39     6.97    -2.14
  0.1931   -18.48   -19.45    -4.94     5.92    -3.06    -1.89     5.97    -4.04    -2.24     5.32     5.81    -1.88
  0.2379   -18.18   -18.71    -4.47     4.99    -2.82    -1.67     4.86    -3.65    -1.97     4.42     4.83    -1.65
  0.2828   -17.85   -18.01    -4.05     4.21    -2.60    -1.47     3.95    -3.32    -1.75     3.67     4.02    -1.45
  0.3276   -17.50   -17.37    -3.68     3.55    -2.41    -1.30     3.20    -3.03    -1.55     3.04     3.34    -1.28
  0.3724   -17.13   -16.77    -3.36     3.00    -2.23    -1.14     2.60    -2.78    -1.38     2.53     2.78    -1.13
  0.4172   -16.75   -16.20    -3.07     2.52    -2.07    -1.01     2.11    -2.57    -1.23     2.10     2.31    -1.00
  0.4621   -16.36   -15.67    -2.81     2.13    -1.93    -0.89     1.71    -2.39    -1.11     1.74     1.92    -0.88
  0.5069   -15.96   -15.18    -2.58     1.79    -1.79    -0.78     1.39    -2.23    -1.00     1.45     1.60    -0.78
  0.5517   -15.57   -14.71    -2.37     1.51    -1.67    -0.68     1.13    -2.10    -0.90     1.21     1.33    -0.70
  0.5966   -15.17   -14.26    -2.18     1.27    -1.56    -0.60     0.92    -1.98    -0.81     1.01     1.11    -0.62
  0.6414   -14.78   -13.84    -2.01     1.07    -1.46    -0.53     0.76    -1.89    -0.74     0.84     0.93    -0.55
  0.6862   -14.40   -13.44    -1.86     0.90    -1.37    -0.47     0.62    -1.81    -0.67     0.71     0.78    -0.49
  0.7310   -14.02   -13.06    -1.72     0.76    -1.28    -0.41     0.51    -1.74    -0.61     0.59     0.66    -0.44
  0.7759   -13.65   -12.69    -1.60     0.64    -1.21    -0.36     0.43    -1.68    -0.56     0.50     0.55    -0.39
  0.8207   -13.30   -12.35    -1.49     0.54    -1.13    -0.32     0.36    -1.63    -0.51     0.42     0.47    -0.35
  0.8655   -12.95   -12.02    -1.38     0.45    -1.07    -0.28     0.30    -1.58    -0.47     0.36     0.39    -0.31
  0.9103   -12.61   -11.70    -1.29     0.38    -1.01    -0.25     0.25    -1.53    -0.43     0.30     0.33    -0.28
  0.9552   -12.28   -11.40    -1.20     0.32    -0.95    -0.22     0.22    -1.49    -0.39     0.26     0.28    -0.25
  1.0000   -11.96   -11.11    -1.12     0.27    -0.90    -0.20     0.18    -1.45    -0.36     0.22     0.24    -0.22
