#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.3000   -24.19   -45.24   -16.04    37.08    -7.70    -5.80    34.04   -14.98    -9.42    28.50    30.45    -8.34
 -0.2552   -25.19   -42.57   -14.06    31.44    -6.85    -5.01    27.19   -12.98    -8.03    23.39    25.09    -7.21
 -0.2103   -25.85   -40.13   -12.37    26.64    -6.11    -4.34    21.58   -11.23    -6.87    19.13    20.60    -6.26
 -0.1655   -26.25   -37.90   -10.92    22.57    -5.47    -3.77    17.01    -9.72    -5.91    15.59    16.85    -5.45
 -0.1207   -26.43   -35.86    -9.68    19.11    -4.92    -3.28    13.30    -8.43    -5.10    12.66    13.73    -4.77
 -0.0759   -26.43   -33.98    -8.61    16.17    -4.43    -2.84    10.32    -7.32    -4.42    10.25    11.15    -4.18
 -0.0310   -26.28   -32.27    -7.69    13.68    -4.01    -2.47     7.94    -6.38    -3.84     8.26     9.02    -3.68
  0.0138   -26.01   -30.69    -6.89    11.57    -3.63    -2.13     6.04    -5.57    -3.34     6.64     7.28    -3.25
  0.0586   -25.65   -29.24    -6.19     9.78    -3.30    -1.84     4.54    -4.88    -2.91     5.32     5.85    -2.88
  0.1034   -25.22   -27.91    -5.57     8.26    -3.01    -1.59     3.37    -4.29    -2.54     4.25     4.69    -2.56
  0.1483   -24.73   -26.68    -5.03     6.98    -2.75    -1.36     2.45    -3.78    -2.22     3.38     3.74    -2.28
  0.1931   -24.20   -25.54    -4.56     5.90    -2.52    -1.17     1.75    -3.34    -1.94     2.68     2.98    -2.04
  0.2379   -23.64   -24.49    -4.14     4.99    -2.31    -1.00     1.21    -2.95    -1.70     2.12     2.36    -1.82
  0.2828   -23.06   -23.51    -3.76     4.21    -2.13    -0.85     0.81    -2.60    -1.49     1.67     1.87    -1.63
  0.3276   -22.47   -22.60    -3.43     3.56    -1.96    -0.72     0.51    -2.30    -1.30     1.31     1.47    -1.47
  0.3724   -21.88   -21.75    -3.13     3.00    -1.81    -0.61     0.29    -2.03    -1.14     1.02     1.16    -1.32
  0.4172   -21.29   -20.96    -2.86     2.54    -1.68    -0.52     0.13    -1.79    -1.00     0.80     0.91    -1.19
  0.4621   -20.70   -20.22    -2.62     2.14    -1.56    -0.44     0.02    -1.57    -0.87     0.62     0.71    -1.07
  0.5069   -20.12   -19.52    -2.41     1.81    -1.44    -0.37    -0.05    -1.38    -0.76     0.48     0.55    -0.96
  0.5517   -19.55   -18.86    -2.21     1.52    -1.34    -0.31    -0.10    -1.20    -0.66     0.37     0.43    -0.87
  0.5966   -18.99   -18.24    -2.03     1.28    -1.25    -0.26    -0.12    -1.04    -0.58     0.28     0.33    -0.78
  0.6414   -18.45   -17.66    -1.87     1.08    -1.17    -0.22    -0.14    -0.90    -0.50     0.22     0.25    -0.71
  0.6862   -17.92   -17.10    -1.73     0.91    -1.09    -0.19    -0.14    -0.78    -0.44     0.16     0.19    -0.64
  0.7310   -17.41   -16.58    -1.60     0.77    -1.02    -0.16    -0.13    -0.67    -0.38     0.12     0.15    -0.57
  0.7759   -16.91   -16.07    -1.47     0.64    -0.96    -0.13    -0.13    -0.57    -0.33     0.09     0.11    -0.52
  0.8207   -16.42   -15.60    -1.36     0.54    -0.90    -0.11    -0.12    -0.48    -0.28     0.07     0.09    -0.47
  0.8655   -15.95   -15.14    -1.26     0.45    -0.84    -0.09    -0.10    -0.41    -0.24     0.05     0.07    -0.42
  0.9103   -15.50   -14.70    -1.17     0.38    -0.79    -0.08    -0.09    -0.34    -0.21     0.04     0.05    -0.38
  0.9552   -15.06   -14.28    -1.09     0.32    -0.75    -0.06    -0.08    -0.29    -0.18     0.03     0.04    -0.34
  1.0000   -14.63   -13.88    -1.01     0.26    -0.70    -0.05    -0.07    -0.24    -0.15     0.02     0.03    -0.30
