#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.5000     2.46   -18.28    -8.66    29.41    -4.75    -3.62    29.84    -5.76    -5.38    23.78    27.22    -3.91
 -0.4483     0.92   -16.24    -7.21    24.37    -3.85    -3.22    24.48    -4.70    -4.38    19.74    22.61    -3.35
 -0.3966    -0.29   -14.47    -6.01    20.19    -3.15    -2.86    20.07    -3.85    -3.58    16.37    18.76    -2.85
 -0.3448    -1.23   -12.93    -5.02    16.72    -2.60    -2.54    16.46    -3.18    -2.94    13.57    15.56    -2.41
 -0.2931    -1.95   -11.59    -4.20    13.84    -2.17    -2.24    13.50    -2.64    -2.42    11.25    12.90    -2.03
 -0.2414    -2.50   -10.42    -3.52    11.45    -1.82    -1.98    11.08    -2.22    -1.99     9.32    10.70    -1.71
 -0.1897    -2.90    -9.41    -2.96     9.47    -1.53    -1.74     9.10    -1.88    -1.64     7.72     8.87    -1.43
 -0.1379    -3.20    -8.52    -2.50     7.83    -1.30    -1.52     7.48    -1.61    -1.36     6.41     7.36    -1.20
 -0.0862    -3.40    -7.75    -2.12     6.47    -1.11    -1.32     6.16    -1.39    -1.12     5.32     6.11    -1.00
 -0.0345    -3.52    -7.08    -1.80     5.35    -0.96    -1.15     5.08    -1.21    -0.92     4.41     5.08    -0.84
  0.0172    -3.59    -6.48    -1.53     4.42    -0.82    -0.99     4.20    -1.06    -0.76     3.67     4.22    -0.70
  0.0690    -3.61    -5.96    -1.30     3.65    -0.72    -0.85     3.48    -0.94    -0.63     3.06     3.52    -0.59
  0.1207    -3.60    -5.50    -1.12     3.02    -0.62    -0.73     2.89    -0.83    -0.52     2.55     2.93    -0.49
  0.1724    -3.55    -5.09    -0.96     2.49    -0.54    -0.63     2.41    -0.74    -0.43     2.13     2.45    -0.41
  0.2241    -3.49    -4.72    -0.82     2.06    -0.48    -0.53     2.01    -0.66    -0.36     1.78     2.05    -0.35
  0.2759    -3.41    -4.39    -0.71     1.70    -0.42    -0.45     1.68    -0.58    -0.30     1.49     1.71    -0.29
  0.3276    -3.31    -4.10    -0.62     1.40    -0.37    -0.38     1.41    -0.51    -0.25     1.25     1.43    -0.24
  0.3793    -3.21    -3.83    -0.53     1.16    -0.33    -0.32     1.19    -0.45    -0.21     1.05     1.20    -0.21
  0.4310    -3.10    -3.59    -0.47     0.96    -0.29    -0.27     1.00    -0.40    -0.17     0.88     1.01    -0.17
  0.4828    -2.99    -3.37    -0.41     0.79    -0.26    -0.23     0.84    -0.34    -0.15     0.74     0.85    -0.15
  0.5345    -2.88    -3.18    -0.36     0.65    -0.23    -0.19     0.71    -0.30    -0.12     0.62     0.71    -0.12
  0.5862    -2.77    -2.99    -0.31     0.54    -0.21    -0.16     0.61    -0.26    -0.10     0.52     0.60    -0.10
  0.6379    -2.66    -2.82    -0.28     0.44    -0.19    -0.13     0.51    -0.22    -0.09     0.44     0.51    -0.09
  0.6897    -2.55    -2.67    -0.24     0.36    -0.17    -0.11     0.44    -0.19    -0.08     0.37     0.43    -0.07
  0.7414    -2.44    -2.53    -0.22     0.30    -0.15    -0.09     0.37    -0.16    -0.06     0.31     0.36    -0.06
  0.7931    -2.34    -2.39    -0.19     0.25    -0.14    -0.08     0.32    -0.14    -0.05     0.27     0.30    -0.05
  0.8448    -2.24    -2.27    -0.17     0.20    -0.13    -0.06     0.27    -0.12    -0.05     0.22     0.26    -0.05
  0.8966    -2.14    -2.16    -0.15     0.17    -0.11    -0.05     0.23    -0.10    -0.04     0.19     0.22    -0.04
  0.9483    -2.05    -2.05    -0.14     0.14    -0.10    -0.04     0.19    -0.09    -0.03     0.16     0.18    -0.03
  1.0000    -1.96    -1.95    -0.12     0.11    -0.09    -0.04     0.16    -0.08    -0.03     0.13     0.15    -0.03
