#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.5000    -2.24   -24.61    -8.13    30.50    -3.30    -3.26    23.50    -4.99    -4.97    20.62    23.18    -4.83
 -0.4483    -3.62   -22.07    -6.81    25.27    -2.75    -2.70    17.96    -3.96    -3.97    16.44    18.49    -4.07
 -0.3966    -4.65   -19.84    -5.73    20.92    -2.30    -2.24    13.60    -3.15    -3.17    13.05    14.70    -3.42
 -0.3448    -5.40   -17.88    -4.83    17.31    -1.95    -1.86    10.21    -2.52    -2.53    10.32    11.64    -2.88
 -0.2931    -5.92   -16.17    -4.08    14.32    -1.65    -1.54     7.58    -2.03    -2.02     8.14     9.19    -2.43
 -0.2414    -6.27   -14.65    -3.46    11.85    -1.41    -1.27     5.56    -1.64    -1.61     6.39     7.23    -2.05
 -0.1897    -6.47   -13.32    -2.94     9.80    -1.21    -1.05     4.01    -1.35    -1.29     5.00     5.67    -1.73
 -0.1379    -6.56   -12.15    -2.51     8.10    -1.05    -0.86     2.84    -1.12    -1.02     3.90     4.44    -1.46
 -0.0862    -6.56   -11.11    -2.15     6.70    -0.91    -0.70     1.97    -0.93    -0.81     3.03     3.46    -1.24
 -0.0345    -6.49   -10.19    -1.84     5.54    -0.79    -0.57     1.32    -0.78    -0.65     2.35     2.69    -1.05
  0.0172    -6.38    -9.37    -1.58     4.58    -0.69    -0.46     0.85    -0.66    -0.51     1.81     2.08    -0.89
  0.0690    -6.22    -8.64    -1.37     3.78    -0.61    -0.38     0.50    -0.57    -0.40     1.39     1.61    -0.76
  0.1207    -6.04    -7.99    -1.18     3.13    -0.54    -0.30     0.26    -0.48    -0.32     1.07     1.24    -0.64
  0.1724    -5.85    -7.41    -1.02     2.58    -0.47    -0.24     0.10    -0.41    -0.25     0.82     0.95    -0.55
  0.2241    -5.64    -6.88    -0.89     2.13    -0.42    -0.19    -0.01    -0.35    -0.20     0.62     0.73    -0.47
  0.2759    -5.43    -6.41    -0.77     1.76    -0.37    -0.15    -0.08    -0.30    -0.16     0.47     0.55    -0.40
  0.3276    -5.21    -5.99    -0.67     1.45    -0.33    -0.12    -0.12    -0.25    -0.12     0.35     0.42    -0.34
  0.3793    -4.99    -5.60    -0.59     1.19    -0.30    -0.09    -0.14    -0.21    -0.10     0.27     0.32    -0.29
  0.4310    -4.78    -5.25    -0.51     0.98    -0.27    -0.07    -0.15    -0.18    -0.08     0.20     0.24    -0.25
  0.4828    -4.57    -4.92    -0.45     0.81    -0.24    -0.06    -0.15    -0.15    -0.06     0.15     0.18    -0.21
  0.5345    -4.36    -4.63    -0.40     0.66    -0.22    -0.04    -0.14    -0.12    -0.05     0.11     0.13    -0.18
  0.5862    -4.17    -4.36    -0.35     0.54    -0.19    -0.03    -0.13    -0.10    -0.04     0.08     0.10    -0.15
  0.6379    -3.98    -4.11    -0.31     0.44    -0.18    -0.03    -0.11    -0.08    -0.03     0.06     0.07    -0.13
  0.6897    -3.79    -3.88    -0.27     0.36    -0.16    -0.02    -0.10    -0.06    -0.02     0.04     0.05    -0.11
  0.7414    -3.62    -3.67    -0.24     0.29    -0.14    -0.02    -0.09    -0.05    -0.02     0.03     0.04    -0.10
  0.7931    -3.45    -3.47    -0.21     0.24    -0.13    -0.01    -0.07    -0.04    -0.01     0.02     0.03    -0.08
  0.8448    -3.29    -3.29    -0.19     0.19    -0.12    -0.01    -0.06    -0.03    -0.01     0.01     0.02    -0.07
  0.8966    -3.13    -3.12    -0.17     0.15    -0.11    -0.01    -0.05    -0.03    -0.01     0.01     0.01    -0.06
  0.9483    -2.99    -2.96    -0.15     0.12    -0.10    -0.00    -0.04    -0.02    -0.01     0.01     0.01    -0.05
  1.0000    -2.85    -2.81    -0.14     0.10    -0.09    -0.00    -0.04    -0.02    -0.01     0.00     0.01    -0.04
