#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.5000    -2.04   -25.27    -8.07    31.29    -3.37    -2.76    24.39    -5.17    -5.25    21.50    24.11    -4.70
 -0.4483    -3.53   -22.70    -6.74    25.92    -2.79    -2.34    18.66    -4.09    -4.19    17.16    19.25    -3.95
 -0.3966    -4.64   -20.44    -5.65    21.45    -2.33    -1.98    14.15    -3.24    -3.34    13.64    15.32    -3.32
 -0.3448    -5.46   -18.46    -4.75    17.75    -1.96    -1.68    10.63    -2.57    -2.67    10.81    12.14    -2.79
 -0.2931    -6.03   -16.71    -4.00    14.68    -1.66    -1.43     7.90    -2.05    -2.13     8.53     9.59    -2.34
 -0.2414    -6.42   -15.17    -3.38    12.14    -1.41    -1.21     5.80    -1.65    -1.70     6.71     7.55    -1.97
 -0.1897    -6.65   -13.82    -2.87    10.04    -1.21    -1.02     4.20    -1.34    -1.35     5.26     5.93    -1.66
 -0.1379    -6.76   -12.62    -2.44     8.30    -1.04    -0.86     2.98    -1.10    -1.08     4.11     4.64    -1.40
 -0.0862    -6.78   -11.56    -2.08     6.86    -0.90    -0.72     2.07    -0.91    -0.85     3.20     3.62    -1.18
 -0.0345    -6.72   -10.62    -1.78     5.67    -0.78    -0.59     1.39    -0.76    -0.68     2.48     2.81    -1.00
  0.0172    -6.61    -9.78    -1.52     4.69    -0.68    -0.49     0.90    -0.64    -0.54     1.92     2.18    -0.85
  0.0690    -6.47    -9.03    -1.31     3.88    -0.59    -0.40     0.54    -0.55    -0.42     1.48     1.69    -0.72
  0.1207    -6.29    -8.37    -1.13     3.20    -0.52    -0.33     0.29    -0.46    -0.33     1.13     1.30    -0.61
  0.1724    -6.09    -7.77    -0.97     2.65    -0.46    -0.27     0.11    -0.40    -0.26     0.87     1.00    -0.52
  0.2241    -5.88    -7.23    -0.84     2.18    -0.40    -0.21    -0.00    -0.34    -0.21     0.66     0.76    -0.44
  0.2759    -5.67    -6.74    -0.73     1.80    -0.36    -0.17    -0.08    -0.29    -0.16     0.50     0.58    -0.37
  0.3276    -5.45    -6.30    -0.63     1.49    -0.32    -0.14    -0.12    -0.25    -0.13     0.38     0.44    -0.32
  0.3793    -5.23    -5.90    -0.55     1.22    -0.28    -0.11    -0.14    -0.21    -0.10     0.28     0.33    -0.27
  0.4310    -5.01    -5.53    -0.48     1.01    -0.25    -0.09    -0.15    -0.18    -0.08     0.21     0.25    -0.23
  0.4828    -4.79    -5.20    -0.42     0.83    -0.23    -0.07    -0.15    -0.15    -0.06     0.16     0.19    -0.19
  0.5345    -4.58    -4.90    -0.37     0.68    -0.20    -0.05    -0.14    -0.12    -0.05     0.12     0.14    -0.16
  0.5862    -4.38    -4.61    -0.32     0.56    -0.18    -0.04    -0.13    -0.10    -0.04     0.09     0.10    -0.14
  0.6379    -4.18    -4.36    -0.28     0.45    -0.16    -0.03    -0.12    -0.08    -0.03     0.06     0.08    -0.12
  0.6897    -3.99    -4.12    -0.25     0.37    -0.15    -0.02    -0.10    -0.07    -0.02     0.05     0.06    -0.10
  0.7414    -3.81    -3.90    -0.22     0.30    -0.13    -0.02    -0.09    -0.05    -0.02     0.03     0.04    -0.08
  0.7931    -3.64    -3.69    -0.19     0.24    -0.12    -0.01    -0.08    -0.04    -0.01     0.02     0.03    -0.07
  0.8448    -3.47    -3.50    -0.17     0.20    -0.11    -0.01    -0.06    -0.03    -0.01     0.02     0.02    -0.06
  0.8966    -3.31    -3.32    -0.15     0.16    -0.10    -0.01    -0.05    -0.03    -0.01     0.01     0.01    -0.05
  0.9483    -3.16    -3.16    -0.13     0.13    -0.09    -0.01    -0.05    -0.02    -0.01     0.01     0.01    -0.04
  1.0000    -3.02    -3.00    -0.12     0.10    -0.08    -0.00    -0.04    -0.02    -0.01     0.00     0.01    -0.04
