#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.5000     2.27   -18.71    -8.52    29.50    -4.44    -6.40    34.96    -6.32    -5.98    26.31    29.94    -4.08
 -0.4483     0.69   -16.68    -7.07    24.45    -3.61    -5.46    28.70    -5.22    -4.87    21.82    24.83    -3.46
 -0.3966    -0.56   -14.93    -5.88    20.25    -2.96    -4.65    23.46    -4.32    -3.96    18.03    20.52    -2.92
 -0.3448    -1.54   -13.40    -4.91    16.76    -2.46    -3.96    19.09    -3.57    -3.22    14.86    16.92    -2.45
 -0.2931    -2.30   -12.07    -4.10    13.87    -2.05    -3.35    15.47    -2.96    -2.62    12.21    13.91    -2.05
 -0.2414    -2.89   -10.92    -3.44    11.48    -1.73    -2.84    12.49    -2.46    -2.13    10.01    11.41    -1.72
 -0.1897    -3.32    -9.91    -2.90     9.49    -1.46    -2.40    10.05    -2.05    -1.73     8.19     9.34    -1.43
 -0.1379    -3.63    -9.03    -2.45     7.85    -1.25    -2.02     8.07    -1.71    -1.41     6.69     7.63    -1.20
 -0.0862    -3.85    -8.26    -2.07     6.49    -1.07    -1.70     6.46    -1.44    -1.15     5.45     6.23    -1.00
 -0.0345    -3.98    -7.58    -1.76     5.36    -0.92    -1.43     5.16    -1.21    -0.93     4.45     5.09    -0.84
  0.0172    -4.05    -6.98    -1.50     4.43    -0.80    -1.19     4.12    -1.02    -0.76     3.62     4.15    -0.70
  0.0690    -4.07    -6.44    -1.28     3.65    -0.70    -1.00     3.29    -0.86    -0.62     2.96     3.39    -0.58
  0.1207    -4.04    -5.96    -1.10     3.02    -0.61    -0.83     2.63    -0.72    -0.51     2.41     2.77    -0.49
  0.1724    -3.99    -5.54    -0.94     2.49    -0.53    -0.69     2.11    -0.61    -0.42     1.97     2.26    -0.41
  0.2241    -3.91    -5.15    -0.81     2.05    -0.47    -0.58     1.69    -0.52    -0.34     1.61     1.85    -0.34
  0.2759    -3.81    -4.80    -0.70     1.69    -0.41    -0.48     1.37    -0.44    -0.28     1.32     1.52    -0.29
  0.3276    -3.70    -4.49    -0.61     1.40    -0.37    -0.40     1.11    -0.38    -0.23     1.09     1.25    -0.24
  0.3793    -3.58    -4.20    -0.53     1.15    -0.33    -0.33     0.90    -0.32    -0.19     0.90     1.03    -0.20
  0.4310    -3.46    -3.94    -0.46     0.95    -0.29    -0.27     0.74    -0.27    -0.16     0.74     0.85    -0.17
  0.4828    -3.33    -3.71    -0.40     0.78    -0.26    -0.23     0.61    -0.23    -0.14     0.61     0.71    -0.14
  0.5345    -3.20    -3.49    -0.35     0.65    -0.23    -0.19     0.50    -0.20    -0.12     0.51     0.59    -0.12
  0.5862    -3.07    -3.29    -0.31     0.53    -0.21    -0.16     0.42    -0.17    -0.10     0.43     0.49    -0.10
  0.6379    -2.94    -3.11    -0.27     0.44    -0.19    -0.13     0.35    -0.15    -0.08     0.36     0.41    -0.09
  0.6897    -2.82    -2.94    -0.24     0.36    -0.17    -0.11     0.29    -0.13    -0.07     0.30     0.34    -0.07
  0.7414    -2.70    -2.78    -0.22     0.30    -0.15    -0.09     0.25    -0.11    -0.06     0.25     0.29    -0.06
  0.7931    -2.58    -2.64    -0.19     0.25    -0.14    -0.08     0.21    -0.09    -0.05     0.21     0.24    -0.05
  0.8448    -2.47    -2.51    -0.17     0.20    -0.13    -0.06     0.18    -0.08    -0.05     0.18     0.20    -0.04
  0.8966    -2.37    -2.38    -0.15     0.17    -0.11    -0.05     0.15    -0.07    -0.04     0.15     0.17    -0.04
  0.9483    -2.27    -2.27    -0.14     0.14    -0.10    -0.04     0.13    -0.06    -0.03     0.13     0.15    -0.03
  1.0000    -2.17    -2.16    -0.12     0.11    -0.10    -0.04     0.11    -0.05    -0.03     0.11     0.12    -0.03
