#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.5000     2.48   -18.61    -8.79    29.88    -5.17    -3.01    29.98    -5.88    -5.56    24.15    27.64    -3.62
 -0.4483     0.90   -16.57    -7.30    24.76    -4.17    -2.69    24.56    -4.78    -4.53    20.04    22.94    -3.13
 -0.3966    -0.35   -14.78    -6.07    20.51    -3.40    -2.40    20.11    -3.90    -3.70    16.61    19.02    -2.68
 -0.3448    -1.32   -13.23    -5.06    16.98    -2.79    -2.12    16.46    -3.21    -3.04    13.77    15.77    -2.27
 -0.2931    -2.06   -11.88    -4.23    14.05    -2.31    -1.87    13.48    -2.66    -2.50    11.41    13.07    -1.92
 -0.2414    -2.62   -10.70    -3.55    11.62    -1.93    -1.65    11.04    -2.22    -2.06     9.45    10.83    -1.62
 -0.1897    -3.04    -9.67    -2.98     9.61    -1.62    -1.44     9.05    -1.87    -1.70     7.83     8.97    -1.36
 -0.1379    -3.34    -8.78    -2.51     7.94    -1.37    -1.25     7.43    -1.59    -1.40     6.49     7.44    -1.14
 -0.0862    -3.55    -7.99    -2.12     6.56    -1.17    -1.09     6.10    -1.36    -1.16     5.38     6.17    -0.95
 -0.0345    -3.67    -7.31    -1.79     5.42    -1.00    -0.94     5.02    -1.18    -0.95     4.47     5.13    -0.80
  0.0172    -3.74    -6.70    -1.52     4.48    -0.86    -0.82     4.14    -1.03    -0.79     3.71     4.26    -0.67
  0.0690    -3.76    -6.17    -1.30     3.70    -0.74    -0.70     3.43    -0.90    -0.65     3.09     3.54    -0.56
  0.1207    -3.75    -5.70    -1.11     3.06    -0.64    -0.60     2.84    -0.80    -0.54     2.57     2.95    -0.47
  0.1724    -3.70    -5.28    -0.95     2.52    -0.56    -0.52     2.36    -0.71    -0.44     2.15     2.46    -0.39
  0.2241    -3.63    -4.90    -0.81     2.08    -0.49    -0.44     1.97    -0.63    -0.37     1.79     2.06    -0.33
  0.2759    -3.55    -4.57    -0.70     1.72    -0.43    -0.38     1.64    -0.56    -0.31     1.50     1.72    -0.27
  0.3276    -3.45    -4.26    -0.60     1.42    -0.38    -0.32     1.38    -0.49    -0.25     1.26     1.44    -0.23
  0.3793    -3.34    -3.99    -0.52     1.17    -0.33    -0.27     1.16    -0.44    -0.21     1.05     1.21    -0.19
  0.4310    -3.23    -3.74    -0.45     0.97    -0.29    -0.23     0.97    -0.38    -0.18     0.89     1.02    -0.16
  0.4828    -3.12    -3.52    -0.39     0.80    -0.26    -0.20     0.82    -0.33    -0.15     0.75     0.85    -0.13
  0.5345    -3.00    -3.31    -0.34     0.66    -0.23    -0.17     0.69    -0.29    -0.13     0.63     0.72    -0.11
  0.5862    -2.88    -3.12    -0.30     0.54    -0.21    -0.14     0.59    -0.25    -0.11     0.53     0.60    -0.09
  0.6379    -2.77    -2.95    -0.26     0.45    -0.19    -0.12     0.50    -0.21    -0.09     0.45     0.51    -0.08
  0.6897    -2.65    -2.79    -0.23     0.37    -0.17    -0.10     0.42    -0.18    -0.08     0.38     0.43    -0.07
  0.7414    -2.54    -2.64    -0.20     0.30    -0.15    -0.08     0.36    -0.15    -0.06     0.32     0.36    -0.06
  0.7931    -2.44    -2.50    -0.18     0.25    -0.13    -0.07     0.31    -0.13    -0.06     0.27     0.30    -0.05
  0.8448    -2.33    -2.38    -0.16     0.20    -0.12    -0.06     0.26    -0.11    -0.05     0.23     0.26    -0.04
  0.8966    -2.23    -2.26    -0.14     0.17    -0.11    -0.05     0.22    -0.09    -0.04     0.19     0.22    -0.03
  0.9483    -2.14    -2.15    -0.13     0.14    -0.10    -0.04     0.19    -0.08    -0.03     0.16     0.18    -0.03
  1.0000    -2.04    -2.04    -0.11     0.11    -0.09    -0.03     0.16    -0.07    -0.03     0.14     0.15    -0.02
