#            DDS                                 EFP2                       OTTO-LADIK                 MURRELL  ESTIMATE 
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Ind      CT       Ex-Rep   CT(OEP)  CT       Ex-Rep   Ex-Rep   CT       
 -0.5000     2.20   -19.15    -8.66    30.01    -4.85    -5.31    35.35    -6.40    -6.20    26.84    30.53    -3.81
 -0.4483     0.57   -17.11    -7.18    24.87    -3.92    -4.55    29.02    -5.29    -5.05    22.28    25.33    -3.26
 -0.3966    -0.71   -15.34    -5.96    20.59    -3.20    -3.87    23.72    -4.37    -4.11    18.43    20.95    -2.76
 -0.3448    -1.72   -13.80    -4.97    17.05    -2.64    -3.29    19.30    -3.61    -3.35    15.19    17.27    -2.33
 -0.2931    -2.50   -12.46    -4.15    14.10    -2.19    -2.79    15.63    -2.99    -2.72    12.49    14.20    -1.95
 -0.2414    -3.10   -11.29    -3.47    11.67    -1.84    -2.36    12.61    -2.49    -2.22    10.24    11.65    -1.63
 -0.1897    -3.54   -10.27    -2.92     9.65    -1.55    -1.99    10.13    -2.07    -1.80     8.38     9.53    -1.36
 -0.1379    -3.86    -9.38    -2.46     7.97    -1.32    -1.68     8.12    -1.73    -1.47     6.85     7.79    -1.14
 -0.0862    -4.08    -8.59    -2.07     6.59    -1.12    -1.42     6.49    -1.45    -1.19     5.58     6.36    -0.95
 -0.0345    -4.21    -7.90    -1.76     5.44    -0.96    -1.19     5.17    -1.22    -0.97     4.55     5.19    -0.79
  0.0172    -4.28    -7.28    -1.49     4.49    -0.83    -1.00     4.12    -1.03    -0.79     3.71     4.23    -0.66
  0.0690    -4.30    -6.74    -1.27     3.71    -0.72    -0.84     3.28    -0.88    -0.64     3.02     3.45    -0.55
  0.1207    -4.27    -6.25    -1.09     3.06    -0.63    -0.70     2.61    -0.74    -0.53     2.47     2.81    -0.46
  0.1724    -4.21    -5.81    -0.93     2.53    -0.55    -0.59     2.09    -0.63    -0.43     2.01     2.30    -0.38
  0.2241    -4.13    -5.41    -0.80     2.08    -0.48    -0.49     1.67    -0.54    -0.35     1.65     1.88    -0.32
  0.2759    -4.03    -5.05    -0.69     1.72    -0.42    -0.41     1.34    -0.46    -0.29     1.35     1.54    -0.27
  0.3276    -3.91    -4.73    -0.60     1.42    -0.37    -0.34     1.08    -0.40    -0.24     1.11     1.27    -0.22
  0.3793    -3.78    -4.43    -0.52     1.17    -0.33    -0.28     0.87    -0.34    -0.20     0.91     1.04    -0.19
  0.4310    -3.65    -4.17    -0.45     0.96    -0.29    -0.24     0.71    -0.29    -0.17     0.75     0.86    -0.16
  0.4828    -3.52    -3.92    -0.39     0.79    -0.26    -0.20     0.58    -0.25    -0.14     0.62     0.71    -0.13
  0.5345    -3.38    -3.69    -0.34     0.65    -0.23    -0.17     0.48    -0.21    -0.12     0.52     0.59    -0.11
  0.5862    -3.24    -3.48    -0.30     0.54    -0.21    -0.14     0.40    -0.18    -0.10     0.43     0.49    -0.09
  0.6379    -3.11    -3.29    -0.26     0.44    -0.19    -0.12     0.33    -0.16    -0.08     0.36     0.41    -0.08
  0.6897    -2.98    -3.12    -0.23     0.37    -0.17    -0.10     0.28    -0.13    -0.07     0.30     0.34    -0.06
  0.7414    -2.86    -2.95    -0.20     0.30    -0.15    -0.08     0.24    -0.11    -0.06     0.25     0.29    -0.05
  0.7931    -2.73    -2.80    -0.18     0.25    -0.14    -0.07     0.20    -0.10    -0.05     0.21     0.24    -0.05
  0.8448    -2.62    -2.66    -0.16     0.21    -0.12    -0.06     0.17    -0.08    -0.05     0.18     0.20    -0.04
  0.8966    -2.51    -2.53    -0.14     0.17    -0.11    -0.05     0.15    -0.07    -0.04     0.15     0.17    -0.03
  0.9483    -2.40    -2.41    -0.13     0.14    -0.10    -0.04     0.12    -0.06    -0.03     0.13     0.15    -0.03
  1.0000    -2.30    -2.30    -0.11     0.12    -0.09    -0.04     0.11    -0.05    -0.03     0.11     0.12    -0.02
