# BBI 6-31+G** 6D
# EFP2                                                        OEP                         DDS
# EXC              R1             R2             EXR          S1             S2           EXR          COU    IND   FQM
# 1                2              3              4            5              6            7            8      9     10
   -13.61350460    27.95081961   -5.45036584     8.88694917   28.90325018   -4.62438474   11.02035201  -12.61  -4.22  -5.81
    -8.70246636    17.51146010   -3.31236883     5.49662490   17.99375154   -2.17281108    6.18871820   -1.75  -1.26   3.17
   -12.33391932    25.25215482   -4.74444022     8.17379528   25.97956927   -4.44462063    9.20909442   -8.94  -2.81  -2.54
    -7.76648301    15.50929300   -2.93194855     4.81086144   15.91104911   -1.91415428    5.44774933   -1.22  -1.13   3.08
   -16.12018145    33.77948146   -6.09253113    11.56676887   34.83613357   -5.15811653   13.25312345  -12.01  -4.28  -3.04
    -8.78010668    18.04684347   -3.23667167     6.03006511   18.76001909   -2.31001098    7.11599451   -9.35  -2.86  -5.10
    -6.17114794    12.14526424   -2.25559234     3.71852396   12.75462349   -1.46805489    4.80340893   -8.58  -2.19  -5.97
    -7.92778169    15.83830258   -2.97338653     4.93713436   16.23809739   -1.85916152    5.55437978   -0.90  -1.12   3.51
   -15.44593102    31.88935176   -6.13251129    10.31090945   32.85950603   -5.62217509   12.33492850  -13.01  -4.43  -5.11
    -6.32656903    12.51532403   -2.23920724     3.94954777   13.14692518   -1.64363891    4.91263983   -8.08  -2.18  -5.36
   -12.53196685    25.01007524   -4.58380485     7.89430354   25.91626152   -4.46484181    9.45782436  -10.80  -3.23  -4.58 
    -8.85877749    17.79038020   -3.33820825     5.59339446   18.27706823   -1.99443393    6.26531580   -1.35  -1.25   3.65
   -15.03089653    31.66507959   -5.83846547    10.79571758   32.55864132   -5.06048138   12.41693270  -12.32  -4.46  -4.37
    -3.82039923     7.39241218   -1.27603997     2.29597299    7.81513105   -0.88937933    2.87098952   -6.36  -1.47  -4.97
   -16.64383658    35.72205124   -6.58277873    12.49543594   36.52888754   -4.86265677   13.94092611  -12.03  -4.70  -2.79
   -10.66208356    21.85931950   -4.10270048     7.09453545   22.46254671   -3.17514059    7.74800155   -7.59  -2.34  -2.18
   -12.39842235    24.75075963   -4.79333874     7.55899854   25.77394039   -4.47227125    9.54808664  -11.24  -3.49  -5.19
   -11.40315052    23.62360011   -4.33280905     7.88764054   24.41241415   -3.43064293    9.36934850  -10.70  -3.57  -4.91
    -6.30525074    12.10655500   -2.25277269     3.54853156   12.70017749   -1.83952430    4.77252896   -8.02  -2.13  -5.38
    -7.59528330    15.55420052   -2.65503925     5.30387796   16.17481955   -1.95159708    6.06204759   -8.43  -2.49  -4.86
   -11.71786151    23.55934631   -4.50362787     7.33785692   24.50573534   -4.04523944    9.11018166  -11.18  -3.48  -5.56
   -10.12481108    20.93967971   -3.81964518     6.99522345   21.71033265   -2.86977331    8.31161282  -10.62  -3.41  -5.72
   -13.01985363    27.05683260   -5.13606874     8.90091022   27.89010875   -3.84910560   10.70303906  -11.95  -4.01  -5.27
    -7.79561085    15.63369875   -2.96787187     4.87021602   16.00606723   -1.77422052    5.44165879   -1.12  -1.11   3.19
    -8.21838671    16.19181047   -3.02155297     4.95187079   16.84453463   -2.79815030    6.35972038   -9.70  -2.75  -6.10
    -1.67681617     2.87282554   -0.35158692     0.84442244    3.01012465   -0.19095627    1.04183477    3.12  -0.62   3.53
   -11.61689337    23.62515153   -4.27170503     7.73655314   24.35886795   -3.91657929    9.13629015  -10.78  -3.43  -5.07
   -11.13998572    22.99445371   -4.09948686     7.75498113   23.75756810   -3.30776674    8.95183799  -10.87  -3.37  -5.29
    -8.94937286    18.54169950   -3.16093284     6.43139379   19.25234046   -2.24844739    7.22908008   -8.72  -2.74  -4.24
    -8.03645509    16.20393710   -3.09932634     5.06815567   16.55305308   -2.20138905    5.57911667   -1.12  -1.09   3.36
   -27.33251839    62.05072652  -11.87867107    22.83953706   62.96580519   -9.09202067   24.34513433  -17.36  -7.51  -0.53
   -16.20041272    35.08551130   -6.56209206    12.32300652   35.94278811   -5.00500685   13.81320334  -12.72  -4.82  -3.73
   -13.94716949    28.98365567   -5.47704554     9.55944064   29.89001442   -4.38654369   11.43972183  -11.39  -4.06  -4.01
   -11.36730574    23.39187594   -4.25370362     7.77086658   24.08513714   -3.62497402    9.10751066  -11.15  -3.60  -5.64
    -9.09051913    18.83949493   -3.32600885     6.42296695   19.51327807   -2.60432721    7.37621275   -9.74  -3.03  -5.40
   -12.31624940    25.85001760   -4.72037510     8.81339310   26.65595710   -3.61718111   10.25074624  -11.38  -3.90  -5.03
