#            DDS                                 EFP2                                MURRELL                    
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Exc      S1       S2       Exr      S1       S2       Exr(Quasi)
 -0.7000     7.54   -36.48   -14.55    58.57   -69.17   157.67   -25.11    63.39   146.65   -20.89    52.37
 -0.6414     4.52   -32.67   -12.66    49.85   -60.04   134.90   -21.49    53.37   127.45   -17.85    45.92
 -0.5828     2.00   -29.31   -11.02    42.33   -51.98   115.10   -18.35    44.77   110.33   -15.20    40.00
 -0.5241    -0.08   -26.35    -9.60    35.88   -44.90    97.94   -15.62    37.42    95.14   -12.89    34.62
 -0.4655    -1.78   -23.75    -8.38    30.34   -38.69    83.13   -13.26    31.17    81.74   -10.91    29.78
 -0.4069    -3.16   -21.45    -7.33    25.62   -33.27    70.39   -11.24    25.88    69.97    -9.21    25.47
 -0.3483    -4.24   -19.42    -6.41    21.59   -28.54    59.46    -9.50    21.42    59.70    -7.75    21.65
 -0.2897    -5.09   -17.63    -5.63    18.17   -24.43    50.12    -8.02    17.67    50.76    -6.51    18.31
 -0.2310    -5.72   -16.04    -4.95    15.26   -20.88    42.16    -6.75    14.53    43.03    -5.46    15.39
 -0.1724    -6.18   -14.64    -4.36    12.81   -17.81    35.40    -5.68    11.92    36.36    -4.57    12.88
 -0.1138    -6.50   -13.39    -3.84    10.73   -15.16    29.68    -4.77     9.75    30.65    -3.82    10.72
 -0.0552    -6.69   -12.28    -3.40     8.99   -12.89    24.84    -3.99     7.96    25.76    -3.19     8.88
  0.0034    -6.79   -11.29    -3.01     7.51   -10.93    20.76    -3.34     6.49    21.60    -2.66     7.32
  0.0621    -6.80   -10.40    -2.68     6.28    -9.27    17.34    -2.79     5.28    18.07    -2.21     6.01
  0.1207    -6.76    -9.61    -2.38     5.24    -7.84    14.46    -2.33     4.29    15.09    -1.84     4.91
  0.1793    -6.66    -8.90    -2.13     4.37    -6.63    12.05    -1.95     3.48    12.57    -1.53     4.00
  0.2379    -6.53    -8.27    -1.90     3.64    -5.60    10.04    -1.62     2.82    10.46    -1.27     3.24
  0.2966    -6.36    -7.69    -1.70     3.03    -4.72     8.36    -1.35     2.29     8.69    -1.06     2.62
  0.3552    -6.18    -7.18    -1.53     2.52    -3.98     6.97    -1.12     1.86     7.21    -0.88     2.11
  0.4138    -5.98    -6.71    -1.38     2.10    -3.35     5.80    -0.94     1.51     5.98    -0.73     1.69
  0.4724    -5.78    -6.28    -1.24     1.74    -2.82     4.83    -0.78     1.23     4.95    -0.60     1.35
  0.5310    -5.56    -5.89    -1.12     1.45    -2.37     4.03    -0.65     1.01     4.10    -0.50     1.08
  0.5897    -5.35    -5.54    -1.01     1.20    -2.00     3.36    -0.54     0.83     3.40    -0.42     0.86
  0.6483    -5.13    -5.21    -0.92     1.00    -1.68     2.81    -0.45     0.68     2.81    -0.35     0.68
  0.7069    -4.92    -4.92    -0.83     0.83    -1.41     2.35    -0.37     0.56     2.33    -0.29     0.54
  0.7655    -4.72    -4.64    -0.76     0.69    -1.19     1.97    -0.31     0.47     1.93    -0.24     0.43
  0.8241    -4.51    -4.39    -0.69     0.57    -1.00     1.65    -0.26     0.39     1.60    -0.20     0.34
  0.8828    -4.32    -4.15    -0.63     0.47    -0.84     1.39    -0.21     0.33     1.33    -0.17     0.27
  0.9414    -4.12    -3.94    -0.58     0.39    -0.71     1.17    -0.18     0.28     1.10    -0.14     0.22
  1.0000    -3.94    -3.73    -0.53     0.32    -0.60     0.98    -0.15     0.24     0.92    -0.12     0.17
