#            DDS                                 EFP2                                MURRELL                    
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Exc      S1       S2       Exr      Exc      S1       S2       
 -0.7000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -72.17   157.30   -29.95
 -0.6414     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -62.41   134.73   -25.31
 -0.5828     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -53.83   115.10   -21.35
 -0.5241     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -46.30    98.09   -17.98
 -0.4655     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -39.73    83.38   -15.12
 -0.4069     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -34.01    70.72   -12.69
 -0.3483     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -29.05    59.85   -10.64
 -0.2897     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -24.75    50.55    -8.91
 -0.2310     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -21.05    42.61    -7.45
 -0.1724     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -17.87    35.85    -6.22
 -0.1138     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -15.14    30.12    -5.19
 -0.0552     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -12.80    25.27    -4.32
  0.0034     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -10.81    21.17    -3.60
  0.0621     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -9.11    17.72    -3.00
  0.1207     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -7.67    14.81    -2.49
  0.1793     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -6.45    12.37    -2.07
  0.2379     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -5.42    10.33    -1.72
  0.2966     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -4.55     8.62    -1.43
  0.3552     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -3.82     7.19    -1.18
  0.4138     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -3.20     5.99    -0.98
  0.4724     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -2.68     5.00    -0.81
  0.5310     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -2.25     4.17    -0.68
  0.5897     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.88     3.48    -0.56
  0.6483     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.58     2.90    -0.47
  0.7069     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.32     2.43    -0.39
  0.7655     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.11     2.03    -0.32
  0.8241     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.93     1.70    -0.27
  0.8828     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.78     1.42    -0.22
  0.9414     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.65     1.19    -0.18
  1.0000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.55     1.00    -0.15
