# NCB31 6-311++G** 6D
# EFP2                                                        OEP                         DDS
# EXC              R1             R2             EXR          S1             S2           EXR          COUL   POL   FQM
# 1                2              3              4            5              6            7            8      9     10
    -6.97557323   13.81631084   -2.58933676     4.25140085   14.36370012   -2.01627832   4.69090150   -5.41  -1.29  -2.01
    -4.79606417   10.90615380   -2.05115540     4.05893423   11.05984738   -1.55958929   4.42354199   -6.69  -1.74  -4.01
    -8.17753747   17.87548354   -3.45947597     6.23847010   18.15854933   -2.70838848   6.40651934   -8.54  -2.07  -4.20
   -12.83793115   29.04489587   -5.59572324    10.61124149   29.21832374   -3.46168960   9.94579863  -11.51  -3.50  -5.07
   -26.48033830   58.02789945  -10.91173042    20.63583074   58.85915939   -5.34527856  22.78245115  -25.32  -9.67 -12.22
   -33.59947990   82.15727936  -16.61089429    31.94690518   81.96491033   -8.80142644  31.83199691  -30.94 -15.24 -14.36
    -6.01170616   13.24967051   -2.34603780     4.89192655   12.78490412   -1.66296164   3.53515566   -2.56  -0.87   0.10
    -5.01732275   11.43002114   -1.98172324     4.43097515   11.57008074   -1.87605662   3.71815335   -2.58  -1.17  -0.03
   -10.00955462   23.71395161   -4.39925745     9.30513954   23.68336379   -2.88043640   7.30446686   -5.38  -2.72  -0.80
    -8.77768217   20.11840327   -3.45264215     7.88807894   20.32864796   -2.59035692   6.77048438   -4.85  -2.20  -0.29
    -3.02077397    7.30321764   -0.93374898     3.34869470    7.59093353   -0.87277998   3.31837256   -1.74  -0.85   0.72
    -4.96255048   11.06803703   -1.53457113     4.57091542   11.42810444   -1.03501765   4.38942095   -2.85  -1.42   0.11
   -15.89986040   37.71612480   -6.05798837    15.75827603   37.45878888  -10.35421114  14.02665032   -8.91  -4.73   0.37
   -13.05046116   28.43899661   -5.09699849    10.29153697   28.48049151   -4.07167530  10.60577763   -9.22  -3.76  -2.38
   -19.22706238   45.47599887   -7.15502484    19.09391165   44.33300430   -6.22600497  14.87704801  -11.51  -5.06  -1.70
   -14.02836042   32.10681302   -5.39665399    12.68179861   31.85871242   -6.09759546  11.34272646  -11.03  -3.84  -3.53
   -50.82533224  133.28534461  -22.45306869    60.00694367  130.64049003  -22.63509560  48.08068252  -33.82 -19.84  -5.58
    -0.06005129    0.08183090   -0.01600219     0.00577742    0.10850653   -0.01345284   0.08159609   -0.01  -0.00   0.06
    -0.16380405    0.27958599   -0.04600744     0.06977450    0.31682636   -0.03675445   0.16247992   -0.04  -0.00   0.11
    -0.17701064    0.32228330   -0.04782789     0.09744478    0.35313312   -0.03972750   0.16300063   -0.04  -0.00   0.11
    -0.85522593    1.51725513   -0.17367817     0.48835103    1.73651256   -0.32709831   0.84885845   -0.24  -0.03   0.56
    -1.43284265    2.49228924   -0.42119414     0.63825245    2.54374554   -0.33664950   0.77219627   -0.20  -0.03   0.52
    -2.56066095    4.88094370   -0.82741606     1.49286668    5.01015598   -0.72310615   1.76219616   -1.85  -0.27  -0.36
    -3.87183086    6.39060785   -1.19696842     1.32180857    6.48118589   -0.76332623   2.28079904   -1.21  -0.21   0.84
    -5.72856184    9.12972286   -1.10360467     2.29755636    9.98385851   -1.73984707   3.44547959    0.35  -0.26   3.53
    -5.62902790    9.98368602   -1.37937785     2.97528027   10.20192417   -2.55052151   3.28889034   -1.74  -0.53   1.00
    -7.87114729   13.66119665   -1.63015823     4.15989113   14.62927314   -2.45082959   4.79585295   -0.94  -0.59   3.26
