#            DDS                                 EFP2                                MURRELL                    
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Exc      S1       S2       Exr      S1       S2       Exr(Quasi)
 -0.5000     2.27   -18.71    -8.52    29.50   -31.71    82.34   -15.67    34.96    82.89   -13.17    35.51
 -0.4483     0.69   -16.68    -7.07    24.45   -26.95    68.60   -12.95    28.70    69.24   -10.76    29.34
 -0.3966    -0.56   -14.93    -5.88    20.25   -22.86    57.02   -10.69    23.46    57.70    -8.80    24.14
 -0.3448    -1.54   -13.40    -4.91    16.76   -19.36    47.28    -8.83    19.09    47.97    -7.20    19.78
 -0.2931    -2.30   -12.07    -4.10    13.87   -16.37    39.12    -7.28    15.47    39.79    -5.89    16.14
 -0.2414    -2.89   -10.92    -3.44    11.48   -13.82    32.31    -6.00    12.49    32.94    -4.83    13.13
 -0.1897    -3.32    -9.91    -2.90     9.49   -11.65    26.64    -4.94    10.05    27.23    -3.95    10.64
 -0.1379    -3.63    -9.03    -2.45     7.85    -9.80    21.94    -4.07     8.07    22.47    -3.24     8.60
 -0.0862    -3.85    -8.26    -2.07     6.49    -8.24    18.05    -3.35     6.46    18.52    -2.66     6.93
 -0.0345    -3.98    -7.58    -1.76     5.36    -6.92    14.84    -2.76     5.16    15.24    -2.18     5.57
  0.0172    -4.05    -6.98    -1.50     4.43    -5.81    12.20    -2.27     4.12    12.54    -1.79     4.47
  0.0690    -4.07    -6.44    -1.28     3.65    -4.87    10.03    -1.86     3.29    10.31    -1.47     3.57
  0.1207    -4.04    -5.96    -1.10     3.02    -4.08     8.25    -1.53     2.63     8.47    -1.21     2.86
  0.1724    -3.99    -5.54    -0.94     2.49    -3.42     6.79    -1.26     2.11     6.96    -0.99     2.28
  0.2241    -3.91    -5.15    -0.81     2.05    -2.86     5.60    -1.04     1.69     5.72    -0.82     1.82
  0.2759    -3.81    -4.80    -0.70     1.69    -2.40     4.62    -0.86     1.37     4.70    -0.67     1.45
  0.3276    -3.70    -4.49    -0.61     1.40    -2.01     3.82    -0.71     1.11     3.86    -0.55     1.15
  0.3793    -3.58    -4.20    -0.53     1.15    -1.68     3.16    -0.58     0.90     3.18    -0.46     0.92
  0.4310    -3.46    -3.94    -0.46     0.95    -1.41     2.63    -0.48     0.74     2.62    -0.38     0.73
  0.4828    -3.33    -3.71    -0.40     0.78    -1.18     2.18    -0.40     0.61     2.16    -0.31     0.58
  0.5345    -3.20    -3.49    -0.35     0.65    -0.99     1.82    -0.33     0.50     1.78    -0.26     0.46
  0.5862    -3.07    -3.29    -0.31     0.53    -0.83     1.52    -0.27     0.42     1.47    -0.21     0.37
  0.6379    -2.94    -3.11    -0.27     0.44    -0.70     1.27    -0.23     0.35     1.21    -0.18     0.29
  0.6897    -2.82    -2.94    -0.24     0.36    -0.59     1.07    -0.19     0.29     1.00    -0.15     0.23
  0.7414    -2.70    -2.78    -0.22     0.30    -0.49     0.90    -0.16     0.25     0.83    -0.12     0.18
  0.7931    -2.58    -2.64    -0.19     0.25    -0.41     0.75    -0.13     0.21     0.69    -0.10     0.15
  0.8448    -2.47    -2.51    -0.17     0.20    -0.35     0.64    -0.11     0.18     0.57    -0.08     0.12
  0.8966    -2.37    -2.38    -0.15     0.17    -0.29     0.54    -0.09     0.15     0.48    -0.07     0.09
  0.9483    -2.27    -2.27    -0.14     0.14    -0.25     0.45    -0.07     0.13     0.40    -0.06     0.07
  1.0000    -2.17    -2.16    -0.12     0.11    -0.21     0.38    -0.06     0.11     0.33    -0.05     0.06
