#            DDS                                 EFP2                                MURRELL                    
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Exc      S1       S2       Exr      Exc      S1       S2       
 -0.5000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -34.30    80.97   -16.73
 -0.4483     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -28.98    67.54   -13.74
 -0.3966     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -24.44    56.24   -11.28
 -0.3448     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -20.58    46.76    -9.26
 -0.2931     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -17.30    38.81    -7.60
 -0.2414     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -14.53    32.17    -6.23
 -0.1897     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -12.18    26.63    -5.11
 -0.1379     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -10.20    22.03    -4.19
 -0.0862     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -8.53    18.20    -3.44
 -0.0345     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -7.13    15.04    -2.82
  0.0172     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -5.95    12.42    -2.32
  0.0690     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -4.97    10.26    -1.90
  0.1207     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -4.14     8.47    -1.56
  0.1724     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -3.46     7.00    -1.28
  0.2241     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -2.88     5.79    -1.05
  0.2759     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -2.40     4.79    -0.87
  0.3276     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -2.00     3.96    -0.71
  0.3793     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.67     3.29    -0.59
  0.4310     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.39     2.73    -0.48
  0.4828     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.16     2.27    -0.40
  0.5345     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.97     1.89    -0.33
  0.5862     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.81     1.57    -0.27
  0.6379     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.68     1.31    -0.23
  0.6897     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.56     1.10    -0.19
  0.7414     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.47     0.92    -0.16
  0.7931     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.40     0.77    -0.13
  0.8448     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.33     0.64    -0.11
  0.8966     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.28     0.54    -0.09
  0.9483     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.23     0.45    -0.07
  1.0000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.20     0.38    -0.06
