#            DDS                                 EFP2                                MURRELL                    
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Exc      S1       S2       Exr      S1       S2       Exr(Quasi)
 -0.5000     2.20   -19.15    -8.66    30.01   -32.24    83.86   -16.26    35.35    84.91   -13.67    36.40
 -0.4483     0.57   -17.11    -7.18    24.87   -27.42    69.88   -13.44    29.02    71.08   -11.21    30.22
 -0.3966    -0.71   -15.34    -5.96    20.59   -23.27    58.08   -11.10    23.72    59.34    -9.20    24.98
 -0.3448    -1.72   -13.80    -4.97    17.05   -19.71    48.17    -9.16    19.30    49.42    -7.55    20.55
 -0.2931    -2.50   -12.46    -4.15    14.10   -16.67    39.85    -7.55    15.63    41.06    -6.20    16.84
 -0.2414    -3.10   -11.29    -3.47    11.67   -14.07    32.90    -6.23    12.61    34.05    -5.09    13.75
 -0.1897    -3.54   -10.27    -2.92     9.65   -11.86    27.12    -5.13    10.13    28.18    -4.18    11.19
 -0.1379    -3.86    -9.38    -2.46     7.97    -9.98    22.32    -4.22     8.12    23.28    -3.43     9.08
 -0.0862    -4.08    -8.59    -2.07     6.59    -8.39    18.35    -3.47     6.49    19.21    -2.82     7.34
 -0.0345    -4.21    -7.90    -1.76     5.44    -7.05    15.08    -2.86     5.17    15.83    -2.32     5.92
  0.0172    -4.28    -7.28    -1.49     4.49    -5.91    12.38    -2.35     4.12    13.03    -1.90     4.77
  0.0690    -4.30    -6.74    -1.27     3.71    -4.96    10.17    -1.93     3.28    10.72    -1.56     3.83
  0.1207    -4.27    -6.25    -1.09     3.06    -4.15     8.36    -1.59     2.61     8.82    -1.29     3.07
  0.1724    -4.21    -5.81    -0.93     2.53    -3.48     6.87    -1.31     2.09     7.25    -1.06     2.46
  0.2241    -4.13    -5.41    -0.80     2.08    -2.91     5.65    -1.08     1.67     5.96    -0.87     1.97
  0.2759    -4.03    -5.05    -0.69     1.72    -2.44     4.66    -0.88     1.34     4.90    -0.72     1.57
  0.3276    -3.91    -4.73    -0.60     1.42    -2.04     3.85    -0.73     1.08     4.03    -0.59     1.26
  0.3793    -3.78    -4.43    -0.52     1.17    -1.71     3.18    -0.60     0.87     3.31    -0.49     1.00
  0.4310    -3.65    -4.17    -0.45     0.96    -1.43     2.64    -0.50     0.71     2.72    -0.40     0.80
  0.4828    -3.52    -3.92    -0.39     0.79    -1.20     2.19    -0.41     0.58     2.24    -0.33     0.64
  0.5345    -3.38    -3.69    -0.34     0.65    -1.00     1.82    -0.34     0.48     1.85    -0.27     0.51
  0.5862    -3.24    -3.48    -0.30     0.54    -0.84     1.52    -0.28     0.40     1.53    -0.23     0.41
  0.6379    -3.11    -3.29    -0.26     0.44    -0.70     1.27    -0.23     0.33     1.26    -0.19     0.32
  0.6897    -2.98    -3.12    -0.23     0.37    -0.59     1.06    -0.19     0.28     1.04    -0.16     0.26
  0.7414    -2.86    -2.95    -0.20     0.30    -0.50     0.89    -0.16     0.24     0.86    -0.13     0.21
  0.7931    -2.73    -2.80    -0.18     0.25    -0.42     0.75    -0.13     0.20     0.71    -0.11     0.16
  0.8448    -2.62    -2.66    -0.16     0.21    -0.35     0.63    -0.11     0.17     0.59    -0.09     0.13
  0.8966    -2.51    -2.53    -0.14     0.17    -0.30     0.53    -0.09     0.15     0.49    -0.07     0.10
  0.9483    -2.40    -2.41    -0.13     0.14    -0.25     0.45    -0.08     0.12     0.41    -0.06     0.08
  1.0000    -2.30    -2.30    -0.11     0.12    -0.21     0.38    -0.06     0.11     0.34    -0.05     0.07
