#            DDS                                 EFP2                                MURRELL                    
#DR[Angs]    FQM      Coul     Polar    Ex-Rep   Exc      S1       S2       Exr      Exc      S1       S2          
 -0.5000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -34.66    82.45   -17.26
 -0.4483     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -29.28    68.78   -14.17
 -0.3966     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -24.69    57.27   -11.63
 -0.3448     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -20.79    47.61    -9.55
 -0.2931     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -17.47    39.51    -7.84
 -0.2414     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -14.67    32.74    -6.43
 -0.1897     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -12.29    27.10    -5.27
 -0.1379     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -10.29    22.40    -4.32
 -0.0862     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -8.60    18.51    -3.54
 -0.0345     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -7.18    15.28    -2.91
  0.0172     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -6.00    12.61    -2.38
  0.0690     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -5.00    10.40    -1.95
  0.1207     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -4.17     8.58    -1.60
  0.1724     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -3.47     7.09    -1.32
  0.2241     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -2.89     5.85    -1.08
  0.2759     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -2.41     4.84    -0.89
  0.3276     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -2.00     4.00    -0.73
  0.3793     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.67     3.31    -0.60
  0.4310     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.39     2.75    -0.50
  0.4828     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.16     2.28    -0.41
  0.5345     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.96     1.89    -0.34
  0.5862     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.80     1.58    -0.28
  0.6379     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.67     1.31    -0.23
  0.6897     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.56     1.09    -0.19
  0.7414     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.47     0.91    -0.16
  0.7931     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.39     0.76    -0.13
  0.8448     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.33     0.64    -0.11
  0.8966     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.27     0.54    -0.09
  0.9483     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.23     0.45    -0.08
  1.0000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.19     0.38    -0.06
